电影名,英文名,又名,导演/主演,年份/国别/类型,评论人数,评分
肖申克的救赎,/?The Shawshank Redemption,/?月黑高飞(港)  /  刺激1995(台),导演: 弗兰克·德拉邦特 Frank Darabont???主演: 蒂姆·罗宾斯 Tim Robbins /...,1994?/?美国?/?犯罪 剧情,1165368人评价,9.6
霸王别姬,/?再见，我的妾  /  Farewell My Concubine,/?杀手莱昂  /  终极追杀令(台),导演: 陈凯歌 Kaige Chen???主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993?/?中国大陆 香港?/?剧情 爱情 同性,852078人评价,9.6
这个杀手不太冷,/?Léon,/?福雷斯特·冈普,导演: 吕克·贝松 Luc Besson???主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994?/?法国?/?剧情 动作 犯罪,1075187人评价,9.4
阿甘正传,/?Forrest Gump,/?一个快乐的传说(港)  /  Life Is Beautiful,导演: Robert Zemeckis???主演: Tom Hanks / Robin Wright Penn / Gary Sinise,1994?/?美国?/?剧情 爱情,919569人评价,9.4
美丽人生,/?La vita è bella,/?铁达尼号(港 / 台),导演: 罗伯托·贝尼尼 Roberto Benigni???主演: 罗伯托·贝尼尼 Roberto Beni...,1997?/?意大利?/?剧情 喜剧 爱情 战争,536756人评价,9.5
泰坦尼克号,/?Titanic,/?神隐少女(台)  /  Spirited Away,导演: 詹姆斯·卡梅隆 James Cameron???主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997?/?美国?/?剧情 爱情 灾难,855454人评价,9.3
千与千寻,/?千と千尋の神隠し,/?舒特拉的名单(港)  /  辛德勒名单,导演: 宫崎骏 Hayao Miyazaki???主演: 柊瑠美 Rumi H?ragi / 入野自由 Miy...,2001?/?日本?/?剧情 动画 奇幻,851734人评价,9.3
辛德勒的名单,/?Schindler's List,/?潜行凶间(港)  /  全面启动(台),导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 连姆·尼森 Liam Neeson...,1993?/?美国?/?剧情 历史 战争,483871人评价,9.5
盗梦空间,/?Inception,/?瓦力(台)  /  太空奇兵·威E(港),导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 莱昂纳多·迪卡普里奥 Le...,2010?/?美国 英国?/?剧情 科幻 悬疑 冒险,939992人评价,9.3
机器人总动员,/?WALL·E,/?忠犬小八(台)  /  秋田犬八千(港),导演: 安德鲁·斯坦顿 Andrew Stanton???主演: 本·贝尔特 Ben Burtt / 艾丽...,2008?/?美国?/?爱情 科幻 动画 冒险,622135人评价,9.3
忠犬八公的故事,/?Hachi: A Dog's Tale,/?三个傻瓜(台)  /  作死不离3兄弟(港),导演: 莱塞·霍尔斯道姆 Lasse Hallstr?m???主演: 理查·基尔 Richard Ger...,2009?/?美国 英国?/?剧情,603659人评价,9.3
三傻大闹宝莱坞,/?3 Idiots,/?声光伴我飞(港)  /  一九零零的传奇,导演: 拉库马·希拉尼 Rajkumar Hirani???主演: 阿米尔·汗 Aamir Khan / 卡...,2009?/?印度?/?剧情 喜剧 爱情 歌舞,842680人评价,9.2
海上钢琴师,/?La leggenda del pianista sull'oceano,/?歌声伴我心(港)  /  唱诗班男孩,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 蒂姆·罗斯 Tim Roth / ...,1998?/?意大利?/?剧情 音乐,706672人评价,9.2
放牛班的春天,/?Les choristes,/?西游记完结篇仙履奇缘  /  齐天大圣西游记,导演: 克里斯托夫·巴拉蒂 Christophe Barratier???主演: 杰拉尔·朱诺 Géra...,2004?/?法国 瑞士 德国?/?剧情 音乐,576393人评价,9.2
大话西游之大圣娶亲,/?西遊記大結局之仙履奇緣,/?真人Show(港)  /  真人戏,导演: 刘镇伟 Jeffrey Lau???主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995?/?香港 中国大陆?/?喜剧 爱情 奇幻 冒险,634283人评价,9.2
楚门的世界,/?The Truman Show,/?Mario Puzo's The Godfather,导演: 彼得·威尔 Peter Weir???主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998?/?美国?/?剧情 科幻,612067人评价,9.2
教父,/?The Godfather,/?邻居托托罗  /  邻家的豆豆龙,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola???主演: 马龙·白兰度 M...,1972?/?美国?/?剧情 犯罪,426646人评价,9.2
龙猫,/?となりのトトロ,/?星际启示录(港)  /  星际效应(台),导演: 宫崎骏 Hayao Miyazaki???主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988?/?日本?/?动画 奇幻 冒险,522791人评价,9.1
星际穿越,/?Interstellar,/?无声呐喊(港)  /  漩涡,导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 马修·麦康纳 Matthew Mc...,2014?/?美国 英国 加拿大 冰岛?/?剧情 科幻 冒险,631172人评价,9.2
熔炉,/????,/?Infernal Affairs  /  Mou gaan dou,导演: 黄东赫 Dong-hyuk Hwang???主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,2011?/?韩国?/?剧情,354072人评价,9.2
无间道,/?無間道,/?闪亮人生(港)  /  逆转人生(台),导演: 刘伟强 / 麦兆辉???主演: 刘德华 / 梁朝伟 / 黄秋生,2002?/?香港?/?剧情 犯罪 悬疑,518430人评价,9.1
触不可及,/?Intouchables,/?寻找快乐的故事(港)  /  追求快乐,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano???主...,2011?/?法国?/?剧情 喜剧,454583人评价,9.2
当幸福来敲门,/?The Pursuit of Happyness,/?飘,导演: 加布里尔·穆奇诺 Gabriele Muccino???主演: 威尔·史密斯 Will Smith ...,2006?/?美国?/?剧情 传记 家庭,676859人评价,9
乱世佳人,/?Gone with the Wind,/?萌动青春  /  青春萌动,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor???主演: 费...,1939?/?美国?/?剧情 历史 爱情 战争,325826人评价,9.2
疯狂动物城,/?Zootopia,/?优兽大都会(港)  /  动物方城市(台),导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore???主演: 金妮弗·...,2016?/?美国?/?喜剧 动画 冒险,685366人评价,9.1
天堂电影院,/?Nuovo Cinema Paradiso,/?星光伴我心(港)  /  新天堂乐园(台),导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 安东娜拉·塔莉 Antonel...,1988?/?意大利 法国?/?剧情 爱情,359270人评价,9.1
蝙蝠侠：黑暗骑士,/?The Dark Knight,/?蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 克里斯蒂安·贝尔 Christ...,2008?/?美国 英国?/?剧情 动作 科幻 犯罪 惊悚,417596人评价,9.1
活着,/?人生  /  Lifetimes,/?12怒汉  /  十二怒汉,导演: 张艺谋 Yimou Zhang???主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994?/?中国大陆 香港?/?剧情 历史 家庭,345879人评价,9.1
十二怒汉,/?12 Angry Men,/?少年Pi的奇幻漂流  /  漂流少年Pi,导演: Sidney Lumet???主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957?/?美国?/?剧情,208939人评价,9.4
鬼子来了,/?Devils on the Doorstep,/?魔戒三部曲：王者再临(台 / 港),导演: 姜文 Wen Jiang???主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000?/?中国大陆?/?剧情 历史 战争,290058人评价,9.2
少年派的奇幻漂流,/?Life of Pi,/?搏击会(港)  /  斗阵俱乐部(台),导演: 李安 Ang Lee???主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012?/?美国 台湾 英国 加拿大?/?剧情 奇幻 冒险,701110人评价,9
