i,label
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
